GEOID,Drive15_EVSE
36047024600,72
36047024700,165
36047024800,43
36047024900,171
36047025000,47
36047025100,195
36047025200,68
36047025300,183
36047025400,43
36047025500,194
36047025600,68
36047025700,195
36047025800,68
36047025901,179
36047025902,161
36047026000,44
36047026100,175
36047026200,47
36047026300,175
36047026400,66
36047026500,171
36047026600,66
36047026700,187
36047026800,66
36047026900,181
36047027000,41
36047027100,148
36047027200,36
36047027300,155
36047027400,64
36047027500,161
36047027600,64
36047027700,177
36047027800,66
36047027900,175
36047028000,70
36047028100,175
36047028200,79
36047028300,163
36047028400,66
36047028501,156
36047028502,171
36047028600,83
36047028700,155
36047028800,67
36047028900,159
36047029000,41
36047029100,159
36047029200,91
36047029300,161
36047029400,91
36047029500,140
36047029600,39
36047029700,140
36047029800,37
36047029900,90
36047030000,37
36047030100,109
36047030200,67
36047030300,109
36047030400,68
36047030500,104
36047030600,65
36047030700,74
36047030800,65
36047030900,100
36047031100,94
36047031300,92
36047031401,63
36047031402,65
36047031500,104
36047031701,92
36047031702,92
36047031900,86
36047032100,86
36047032300,86
36047032500,92
36047032600,66
36047032700,86
36047032800,63
36047032900,82
36047033000,35
36047033100,84
36047033300,86
36047033500,86
36047033600,33
36047033701,86
36047033702,82
36047033900,96
36047034000,28
36047034100,86
36047034200,28
36047034300,96
36047034500,82
36047034700,82
36047034800,67
36047034901,84
36047034902,80
36047035000,33
36047035101,94
36047035102,82
36047035200,33
36047035301,94
36047035302,94
36047035400,35
36047035500,69
36047035601,35
36047035602,35
36047035701,82
36047035702,61
36047035900,70
36047036001,35
36047036002,35
36047036100,110
36047036200,35
36047036300,62
36047036400,65
36047036501,119
36047036502,107
36047036600,57
36047036700,123
36047036900,104
36047037000,83
36047037100,116
36047037300,109
36047037401,66
36047037402,69
36047037500,121
36047037700,122
36047037900,171
36047038100,86
36047038200,67
36047038300,140
36047038500,147
36047038600,60
36047038700,146
36047038800,68
36047038900,148
36047039000,68
36047039100,130
36047039200,68
36047039300,124
36047039400,60
36047039500,131
36047039600,60
36047039700,140
36047039800,36
36047039900,140
36047040000,36
36047040100,146
36047040200,36
36047040300,175
36047040400,66
36047040500,124
36047040600,36
36047040700,112
36047040800,38
36047040900,139
36047041000,36
36047041100,147
36047041200,38
36047041300,108
36047041401,36
36047041402,36
36047041500,139
36047041600,26
36047041700,140
36047041800,26
36047041900,118
36047042000,26
36047042100,74
36047042200,37
36047042300,124
36047042400,38
36047042500,111
36047042600,38
36047042700,141
36047042800,38
36047042900,113
36047043000,38
36047043100,85
36047043200,68
36047043300,103
36047043400,60
36047043500,98
36047043600,58
36047043700,139
36047043800,36
36047043900,139
36047044000,38
36047044100,85
36047044200,30
36047044300,102
36047044400,32
36047044500,100
36047044600,64
36047044700,117
36047044800,30
36047044901,344
36047044902,220
36047045000,68
36047045200,34
36047045300,127
36047045400,10
36047045600,14
36047045800,43
36047046000,37
36047046201,34
36047046202,64
36047046400,31
36047046800,43
36047047000,35
36047047200,31
36047047400,31
36047047600,33
36047047700,296
36047047800,38
36047048000,33
36047048100,226
36047048200,11
36047048400,48
36047048500,113
36047048600,64
36047048800,64
36047048900,115
36047049000,52
36047049100,159
36047049200,50
36047049301,153
36047049302,137
36047049400,64
36047049500,211
36047049600,57
36047049700,312
36047049800,57
