Station Name,Street Address,ZIP,EV Level2 EVSE Num,EV DC Fast Count,EV Network,Latitude,Longitude,EV Connector Types,Facility Type
Paragon Acura,56-02 Northern Blvd,11377,0.0,2.0,Blink Network,40.75294433775417,-73.90461632141067,J1772COMBO,
NEW test by jimmy,23 E 91st Street,10128,1.0,4.0,ABM,40.7844709,-73.956859,J1772 J1772COMBO,
L&L HOLDING CO. STATION 3,425 Park Ave,10022,2.0,0.0,ChargePoint Network,40.760378,-73.971062,J1772,
L&L HOLDING CO. NUGGET L2,425 Park Ave,10022,2.0,0.0,ChargePoint Network,40.760403,-73.97105,J1772,
Parking Systems at 343 E 74th,343 E 74th St,10021,1.0,0.0,Non-Networked,40.76957,-73.95589,J1772,OFFICE_BLDG
(SP+) - 101 Lincoln Ave. Garage,101 Lincoln Ave.,10454,50.0,0.0,FLASH,40.80733842809466,-73.9300472661853,J1772,PUBLIC
25 Broadway,25 Broadway,10004,3.0,0.0,EVGATEWAY,40.70568,-74.0136,J1772,PARKING_LOT
391 Weirfield St,391 Weirfield St,11237,6.0,0.0,EVGATEWAY,40.69604,-73.90662,J1772,PARKING_LOT
101-19 Rockaway Beach Blvd,101-19 Rockaway Beach Blvd,11694,8.0,0.0,EVGATEWAY,40.58309,-73.82213,J1772,PARKING_LOT
Bronx Honda Service,1133 Zerega Ave,10462,2.0,0.0,EVGATEWAY,40.83174,-73.84485,J1772,PARKING_LOT
1240 Morrison Ave,1240 Morrison Ave,10472,3.0,0.0,EVGATEWAY,40.83051,-73.87437,J1772,PARKING_LOT
Airway Inn at LaGuardia,8220 Astoria Boulevard,11370,3.0,0.0,EVGATEWAY,40.76447,-73.8863,J1772,PARKING_LOT
Manhattan Beer Distributors,955 E 149th St,10455,2.0,0.0,EVGATEWAY,40.80549,-73.90049,J1772,PARKING_LOT
532 Neptune Avenue,532 Neptune Ave,11224,8.0,0.0,EVGATEWAY,40.57978,-73.97439,J1772,PARKING_LOT
118 E 86th Street,118 East 86th Street,10028,4.0,0.0,LIVINGSTON,40.77968,-73.95657,J1772,
300 East 34th,300 E 34th St,10016,4.0,0.0,LIVINGSTON,40.74437,-73.97561,J1772,
Rapid Park - 205 W 101st 1st Floor,205 W 101st Street,10025,4.0,0.0,LIVINGSTON,40.79766,-73.96838,J1772,
Rapid Park - 204 W 101st 1st Floor,204 W 101st Street,10025,4.0,0.0,LIVINGSTON,40.79743,-73.9687,J1772,
113 East 84th Street,113 East 84th Street,10028,4.0,0.0,LIVINGSTON,40.77866,-73.95739,J1772,
